START_DATE*,END_DATE*,CATEGORY*,START*,STOP*,MILES*,PURPOSE*
01-01-2016 21:11,01-01-2016 21:17,Business,Fort Pierce,Fort Pierce,5.1,Meal/Entertain
02-01-2016 21:11,02-01-2016 21:17,Business,Fort Pierce,Fort Pierce,5,
03-01-2016 21:11,03-01-2016 21:17,Business,Fort Pierce,Fort Pierce,4.8,Errand/Supplies
04-01-2016 21:11,04-01-2016 21:17,Business,Fort Pierce,Fort Pierce,4.7,Meeting
05-01-2016 21:11,05-01-2016 21:17,Business,Fort Pierce,West Palm Beach,63.7,Customer Visit
06-01-2016 21:11,06-01-2016 21:17,Business,West Palm Beach,West Palm Beach,4.3,Meal/Entertain
07-01-2016 21:11,07-01-2016 21:17,Business,West Palm Beach,Palm Beach,7.1,Meeting
08-01-2016 21:11,08-01-2016 21:17,Business,Cary,Cary,0.8,Meeting
09-01-2016 21:11,09-01-2016 21:17,Business,Cary,Morrisville,8.3,Meeting
10-01-2016 21:11,10-01-2016 21:17,Business,Jamaica,New York,16.5,Customer Visit
11-01-2016 21:11,11-01-2016 21:17,Business,New York,Queens,10.8,Meeting
12-01-2016 21:11,12-01-2016 21:17,Business,Elmhurst,New York,7.5,Meeting
13-01-2016 21:11,13-01-2016 21:17,Business,Midtown,East Harlem,6.2,Meeting
14-01-2016 21:11,14-01-2016 21:17,Business,East Harlem,NoMad,6.4,Temporary Site
15-01-2016 21:11,15-01-2016 21:17,Business,Flatiron District,Midtown,1.6,Errand/Supplies
16-01-2016 21:11,16-01-2016 21:17,Business,Midtown,Midtown East,1.7,Meal/Entertain
17-01-2016 21:11,17-01-2016 21:17,Business,Midtown East,Midtown,1.9,Meal/Entertain
18-01-2016 21:11,18-01-2016 21:17,Business,Midtown,Hudson Square,1.9,Meal/Entertain
19-01-2016 21:11,19-01-2016 21:17,Business,Hudson Square,Lower Manhattan,4,Meal/Entertain
20-01-2016 21:11,20-01-2016 21:17,Business,Lower Manhattan,Hudson Square,1.8,Errand/Supplies
21-01-2016 21:11,21-01-2016 21:17,Business,Hudson Square,Hell's Kitchen,2.4,Customer Visit
22-01-2016 21:11,22-01-2016 21:17,Business,Hell's Kitchen,Midtown,2,Errand/Supplies
23-01-2016 21:11,23-01-2016 21:17,Business,New York,Queens County,15.1,Meeting
24-01-2016 21:11,24-01-2016 21:17,Business,Downtown,Gulfton,11.2,Meeting
25-01-2016 21:11,25-01-2016 21:17,Business,Gulfton,Downtown,11.8,Meeting
26-01-2016 21:11,26-01-2016 21:17,Business,Houston,Houston,21.9,Customer Visit
27-01-2016 21:11,27-01-2016 21:17,Business,Eagan Park,Jamestown Court,3.9,Errand/Supplies
28-01-2016 21:11,28-01-2016 21:17,Business,Morrisville,Cary,8,Errand/Supplies
29-01-2016 21:11,29-01-2016 21:17,Business,Cary,Durham,10.4,Meal/Entertain
30-01-2016 21:11,30-01-2016 21:17,Business,Durham,Cary,10.4,Meal/Entertain
31-01-2016 21:11,31-01-2016 21:17,Business,Cary,Cary,4.8,Meal/Entertain
01-02-2016 21:11,01-02-2016 21:17,Business,Farmington Woods,Whitebridge,4.7,Meal/Entertain
02-02-2016 21:11,02-02-2016 21:17,Business,Whitebridge,Lake Wellingborough,7.2,
03-02-2016 21:11,03-02-2016 21:17,Business,Lake Wellingborough,Whitebridge,7.6,Temporary Site
04-02-2016 21:11,04-02-2016 21:17,Business,Cary,Raleigh,17.1,Meeting
05-02-2016 21:11,05-02-2016 21:17,Business,Fayetteville Street,Umstead,15.1,Meeting
06-02-2016 21:11,06-02-2016 21:17,Business,Raleigh,Cary,40.2,Customer Visit
07-02-2016 21:11,07-02-2016 21:17,Business,Cary,Cary,1.6,Errand/Supplies
08-02-2016 21:11,08-02-2016 21:17,Business,Cary,Cary,2.4,Meal/Entertain
09-02-2016 21:11,09-02-2016 21:17,Business,Cary,Cary,1,Meal/Entertain
10-02-2016 21:11,10-02-2016 21:17,Business,Whitebridge,Hazelwood,2,Meal/Entertain
11-02-2016 21:11,11-02-2016 21:17,Business,Hazelwood,Whitebridge,2.3,Errand/Supplies
12-02-2016 21:11,12-02-2016 21:17,Business,Whitebridge,Westpark Place,1.9,Errand/Supplies
13-02-2016 21:11,13-02-2016 21:17,Business,Cary,Cary,1.4,Errand/Supplies
14-02-2016 21:11,14-02-2016 21:17,Business,Cary,Cary,0.5,Errand/Supplies
15-02-2016 21:11,15-02-2016 21:17,Business,Cary,Cary,1.8,Meeting
16-02-2016 21:11,16-02-2016 21:17,Business,Cary,Raleigh,18.7,Customer Visit
17-02-2016 21:11,17-02-2016 21:17,Business,Fairmont,Meredith Townes,3.4,Customer Visit
18-02-2016 21:11,18-02-2016 21:17,Business,Raleigh,Raleigh,2.7,Customer Visit
19-02-2016 21:11,19-02-2016 21:17,Business,Raleigh,Cary,12.9,Customer Visit
20-02-2016 21:11,20-02-2016 21:17,Business,Cary,Raleigh,19,Temporary Site
21-02-2016 21:11,21-02-2016 21:17,Business,Meredith Townes,Leesville Hollow,14.7,Meeting
22-02-2016 21:11,22-02-2016 21:17,Business,Raleigh,Cary,15.7,Meeting
23-02-2016 21:11,23-02-2016 21:17,Business,Cary,Cary,4.6,Customer Visit
24-02-2016 21:11,24-02-2016 21:17,Business,Cary,Cary,5.2,Meeting
25-02-2016 21:11,25-02-2016 21:17,Business,Cary,Durham,10.4,Meeting
26-02-2016 21:11,26-02-2016 21:17,Business,Durham,Cary,10.1,Meeting
27-02-2016 21:11,27-02-2016 21:17,Business,Cary,Apex,5.8,Errand/Supplies
28-02-2016 21:11,28-02-2016 21:17,Business,Apex,Cary,5.5,Meal/Entertain
29-02-2016 21:11,29-02-2016 21:17,Business,Cary,Apex,5.7,Errand/Supplies
01-03-2016 21:11,01-03-2016 21:17,Business,Apex,Cary,5.7,Customer Visit
02-03-2016 21:11,02-03-2016 21:17,Business,Cary,Chapel Hill,19.4,Customer Visit
03-03-2016 21:11,03-03-2016 21:17,Business,Chapel Hill,Cary,23.3,Customer Visit
04-03-2016 21:11,04-03-2016 21:17,Business,Northwoods,Whitebridge,3.9,Meal/Entertain
05-03-2016 21:11,05-03-2016 21:17,Business,Whitebridge,Williamsburg Manor,8.3,Meeting
06-03-2016 21:11,06-03-2016 21:17,Business,Cary,Cary,6,Errand/Supplies
07-03-2016 21:11,07-03-2016 21:17,Business,Cary,Cary,1.6,Errand/Supplies
08-03-2016 21:11,08-03-2016 21:17,Business,Cary,Morrisville,5.2,Errand/Supplies
09-03-2016 21:11,09-03-2016 21:17,Business,Morrisville,Cary,9.7,Meal/Entertain
10-03-2016 21:11,10-03-2016 21:17,Business,Cary,Cary,1.6,Meal/Entertain
11-03-2016 21:11,11-03-2016 21:17,Business,Cary,Cary,1.1,Meal/Entertain
12-03-2016 21:11,12-03-2016 21:17,Business,Cary,Cary,1.6,Meal/Entertain
13-03-2016 21:11,13-03-2016 21:17,Business,Whitebridge,Macgregor Downs,9,Meeting
14-03-2016 21:11,14-03-2016 21:17,Business,Cary,Cary,7.7,Meeting
15-03-2016 21:11,15-03-2016 21:17,Business,Cary,Durham,10.4,Meeting
16-03-2016 21:11,16-03-2016 21:17,Business,Durham,Cary,10.4,Meeting
17-03-2016 21:11,17-03-2016 21:17,Business,Cary,Raleigh,11.4,Between Offices
18-03-2016 21:11,18-03-2016 21:17,Business,Raleigh,Cary,9,Errand/Supplies
19-03-2016 21:11,19-03-2016 21:17,Business,Edgehill Farms,Whitebridge,3.2,Meal/Entertain
20-03-2016 21:11,20-03-2016 21:17,Business,Cary,Apex,5.6,Errand/Supplies
21-03-2016 21:11,21-03-2016 21:17,Business,Apex,Cary,5.7,Customer Visit
22-03-2016 21:11,22-03-2016 21:17,Business,Cary,Morrisville,6.1,Temporary Site
23-03-2016 21:11,23-03-2016 21:17,Business,Morrisville,Cary,6.1,Meeting
24-03-2016 21:11,24-03-2016 21:17,Business,Whitebridge,Edgehill Farms,4.3,Meal/Entertain
25-03-2016 21:11,25-03-2016 21:17,Business,Edgehill Farms,Whitebridge,2.7,Meal/Entertain
26-03-2016 21:11,26-03-2016 21:17,Personal,Whitebridge,Northwoods,5.3,
27-03-2016 21:11,27-03-2016 21:17,Personal,Northwoods,Tanglewood,3,
28-03-2016 21:11,28-03-2016 21:17,Personal,Tanglewood,Preston,5.1,
29-03-2016 21:11,29-03-2016 21:17,Personal,Preston,Whitebridge,1.5,
30-03-2016 21:11,30-03-2016 21:17,Business,Cary,Morrisville,6.1,
31-03-2016 21:11,31-03-2016 21:17,Business,Morrisville,Cary,6.1,Meal/Entertain
01-04-2016 21:11,01-04-2016 21:17,Business,Cary,Raleigh,17.3,Meal/Entertain
02-04-2016 21:11,02-04-2016 21:17,Business,Eastgate,Walnut Terrace,5.7,Meal/Entertain
03-04-2016 21:11,03-04-2016 21:17,Business,Raleigh,Morrisville,13.5,Temporary Site
04-04-2016 21:11,04-04-2016 21:17,Business,Morrisville,Cary,6.1,Temporary Site
05-04-2016 21:11,05-04-2016 21:17,Business,Cary,Durham,8.5,Temporary Site
06-04-2016 21:11,06-04-2016 21:17,Business,Durham,Morrisville,2.6,Temporary Site
07-04-2016 21:11,07-04-2016 21:17,Business,Morrisville,Raleigh,17,Customer Visit
08-04-2016 21:11,08-04-2016 21:17,Business,Raleigh,Cary,18,Meeting
09-04-2016 21:11,09-04-2016 21:17,Business,Cary,Morrisville,8.4,Meeting
10-04-2016 21:11,10-04-2016 21:17,Business,Morrisville,Cary,11.5,Customer Visit
11-04-2016 21:11,11-04-2016 21:17,Business,Cary,Morrisville,8.9,Meeting
12-04-2016 21:11,12-04-2016 21:17,Personal,East Elmhurst,Jackson Heights,2.7,
13-04-2016 21:11,13-04-2016 21:17,Personal,Jackson Heights,East Elmhurst,1.8,
14-04-2016 21:11,14-04-2016 21:17,Business,East Elmhurst,New York,8.1,Meeting
15-04-2016 21:11,15-04-2016 21:17,Business,Midtown,Midtown West,2,Meeting
16-04-2016 21:11,16-04-2016 21:17,Business,New York,Long Island City,13,Meeting
17-04-2016 21:11,17-04-2016 21:17,Business,Long Island City,Jamaica,13.9,Meeting
18-04-2016 21:11,18-04-2016 21:17,Business,Katunayaka,Unknown Location,43.7,Customer Visit
19-04-2016 21:11,19-04-2016 21:17,Business,Unknown Location,Colombo,14.1,
20-04-2016 21:11,20-04-2016 21:17,Business,Colombo,Colombo,2.6,
21-04-2016 21:11,21-04-2016 21:17,Business,Colombo,Colombo,4.5,
22-04-2016 21:11,22-04-2016 21:17,Business,Colombo,Colombo,1.7,
23-04-2016 21:11,23-04-2016 21:17,Business,Colombo,Colombo,1.8,Temporary Site
24-04-2016 21:11,24-04-2016 21:17,Business,Colombo,Colombo,6,
25-04-2016 21:11,25-04-2016 21:17,Business,Colombo,Nugegoda,1.1,Meal/Entertain
26-04-2016 21:11,26-04-2016 21:17,Business,Nugegoda,Unknown Location,3.6,Errand/Supplies
27-04-2016 21:11,27-04-2016 21:17,Business,Unknown Location,Colombo,14.7,Temporary Site
28-04-2016 21:11,28-04-2016 21:17,Business,Colombo,Colombo,1.7,Meal/Entertain
29-04-2016 21:11,29-04-2016 21:17,Business,Colombo,Katunayaka,21.4,Temporary Site
30-04-2016 21:11,30-04-2016 21:17,Business,Katunayaka,Katunayaka,0.5,Errand/Supplies
01-05-2016 21:11,01-05-2016 21:17,Business,Unknown Location,Unknown Location,23.5,Temporary Site
02-05-2016 21:11,02-05-2016 21:17,Business,Unknown Location,Islamabad,12.7,Temporary Site
03-05-2016 21:11,03-05-2016 21:17,Business,Islamabad,Unknown Location,6,Temporary Site
04-05-2016 21:11,04-05-2016 21:17,Business,Unknown Location,Islamabad,5.2,Customer Visit
05-05-2016 21:11,05-05-2016 21:17,Business,Islamabad,Unknown Location,10,Meeting
06-05-2016 21:11,06-05-2016 21:17,Business,Unknown Location,Unknown Location,18.3,Meeting
07-05-2016 21:11,07-05-2016 21:17,Business,Unknown Location,Unknown Location,11.2,Meeting
08-05-2016 21:11,08-05-2016 21:17,Business,Unknown Location,Islamabad,7.6,Meeting
09-05-2016 21:11,09-05-2016 21:17,Personal,Islamabad,Islamabad,1.5,
10-05-2016 21:11,10-05-2016 21:17,Personal,Islamabad,Islamabad,1,
11-05-2016 21:11,11-05-2016 21:17,Business,Islamabad,Unknown Location,7.3,Temporary Site
12-05-2016 21:11,12-05-2016 21:17,Business,Unknown Location,Islamabad,3.5,
13-05-2016 21:11,13-05-2016 21:17,Business,Islamabad,Islamabad,4.2,
14-05-2016 21:11,14-05-2016 21:17,Personal,Islamabad,Unknown Location,13.6,
15-05-2016 21:11,15-05-2016 21:17,Personal,Unknown Location,Unknown Location,2.5,
16-05-2016 21:11,16-05-2016 21:17,Personal,Unknown Location,Islamabad,14.4,
17-05-2016 21:11,17-05-2016 21:17,Personal,Islamabad,Islamabad,3,
18-05-2016 21:11,18-05-2016 21:17,Personal,Islamabad,Islamabad,1.5,
19-05-2016 21:11,19-05-2016 21:17,Business,Islamabad,R?walpindi,18.4,
20-05-2016 21:11,20-05-2016 21:17,Business,R?walpindi,R?walpindi,23.1,Meeting
21-05-2016 21:11,21-05-2016 21:17,Personal,R?walpindi,Unknown Location,16.5,
22-05-2016 21:11,22-05-2016 21:17,Business,Unknown Location,Unknown Location,3.2,Errand/Supplies
23-05-2016 21:11,23-05-2016 21:17,Business,Unknown Location,Unknown Location,7.7,Errand/Supplies
24-05-2016 21:11,24-05-2016 21:17,Business,Unknown Location,Islamabad,14.5,
25-05-2016 21:11,25-05-2016 21:17,Business,Unknown Location,Islamabad,2.4,Errand/Supplies
26-05-2016 21:11,26-05-2016 21:17,Business,Islamabad,Islamabad,4.6,Errand/Supplies
27-05-2016 21:11,27-05-2016 21:17,Business,Islamabad,Unknown Location,8.8,Meal/Entertain
28-05-2016 21:11,28-05-2016 21:17,Business,Unknown Location,Unknown Location,8.3,Temporary Site
29-05-2016 21:11,29-05-2016 21:17,Business,Unknown Location,Unknown Location,22.7,Temporary Site
30-05-2016 21:11,30-05-2016 21:17,Business,Unknown Location,Islamabad,13,Temporary Site
31-05-2016 21:11,31-05-2016 21:17,Business,Islamabad,Noorpur Shahan,8.1,Temporary Site
01-06-2016 21:11,01-06-2016 21:17,Business,Noorpur Shahan,Unknown Location,2.2,Meal/Entertain
02-06-2016 21:11,02-06-2016 21:17,Business,Unknown Location,Unknown Location,9.7,
03-06-2016 21:11,03-06-2016 21:17,Business,Unknown Location,R?walpindi,20,Meeting
04-06-2016 21:11,04-06-2016 21:17,Business,Morrisville,Cary,8.1,Customer Visit
05-06-2016 21:11,05-06-2016 21:17,Business,Whitebridge,Preston,1.5,
06-06-2016 21:11,06-06-2016 21:17,Business,Preston,Whitebridge,1.7,Errand/Supplies
07-06-2016 21:11,07-06-2016 21:17,Business,Whitebridge,Heritage Pines,3.1,Errand/Supplies
08-06-2016 21:11,08-06-2016 21:17,Business,Heritage Pines,Whitebridge,3.2,Errand/Supplies
09-06-2016 21:11,09-06-2016 21:17,Business,Whitebridge,Tanglewood,6,Meal/Entertain
10-06-2016 21:11,10-06-2016 21:17,Business,Tanglewood,Whitebridge,5.8,Meal/Entertain
11-06-2016 21:11,11-06-2016 21:17,Business,Whitebridge,Westpark Place,6.3,
12-06-2016 21:11,12-06-2016 21:17,Personal,Westpark Place,Whitebridge,1.7,
13-06-2016 21:11,13-06-2016 21:17,Business,Cary,Durham,10.6,Meeting
14-06-2016 21:11,14-06-2016 21:17,Business,Durham,Cary,9.9,Meeting
15-06-2016 21:11,15-06-2016 21:17,Personal,Whitebridge,Westpark Place,1.9,
16-06-2016 21:11,16-06-2016 21:17,Personal,Westpark Place,Hazelwood,4.2,
17-06-2016 21:11,17-06-2016 21:17,Personal,Hazelwood,Whitebridge,2,
18-06-2016 21:11,18-06-2016 21:17,Business,Whitebridge,Waverly Place,7.7,Meeting
19-06-2016 21:11,19-06-2016 21:17,Business,Waverly Place,Whitebridge,6.8,Meeting
20-06-2016 21:11,20-06-2016 21:17,Personal,Whitebridge,Westpark Place,2.1,
21-06-2016 21:11,21-06-2016 21:17,Business,Cary,Apex,3.8,Meeting
22-06-2016 21:11,22-06-2016 21:17,Business,Apex,Cary,5.6,Meeting
23-06-2016 21:11,23-06-2016 21:17,Business,Whitebridge,Hazelwood,2.6,
24-06-2016 21:11,24-06-2016 21:17,Business,Hazelwood,Whitebridge,6.6,Customer Visit
25-06-2016 21:11,25-06-2016 21:17,Business,Whitebridge,Wayne Ridge,8,Meal/Entertain
26-06-2016 21:11,26-06-2016 21:17,Business,Wayne Ridge,Whitebridge,8,Meeting
27-06-2016 21:11,27-06-2016 21:17,Personal,Whitebridge,Westpark Place,2.2,
28-06-2016 21:11,28-06-2016 21:17,Business,Westpark Place,Whitebridge,2.3,Errand/Supplies
29-06-2016 21:11,29-06-2016 21:17,Business,Whitebridge,Northwoods,5.2,Meal/Entertain
30-06-2016 21:11,30-06-2016 21:17,Business,Cary,Raleigh,7.6,Customer Visit
01-07-2016 21:11,01-07-2016 21:17,Business,Raleigh,Cary,17.3,Meeting
02-07-2016 21:11,02-07-2016 21:17,Business,Cary,Durham,9.9,Meeting
03-07-2016 21:11,03-07-2016 21:17,Business,Durham,Cary,9.9,Customer Visit
04-07-2016 21:11,04-07-2016 21:17,Business,Cary,Durham,10.4,Meeting
05-07-2016 21:11,05-07-2016 21:17,Business,Durham,Cary,10.9,Meeting
06-07-2016 21:11,06-07-2016 21:17,Business,Cary,Raleigh,15.7,Customer Visit
07-07-2016 21:11,07-07-2016 21:17,Business,Raleigh,Raleigh,4.9,Meal/Entertain
08-07-2016 21:11,08-07-2016 21:17,Business,Fayetteville Street,Depot Historic District,0.8,Errand/Supplies
09-07-2016 21:11,09-07-2016 21:17,Business,Raleigh,Cary,13.5,Meeting
10-07-2016 21:11,10-07-2016 21:17,Business,Cary,Morrisville,1.9,Temporary Site
11-07-2016 21:11,11-07-2016 21:17,Business,Morrisville,Cary,2,Meal/Entertain
12-07-2016 21:11,12-07-2016 21:17,Business,Cary,Morrisville,6.5,Meal/Entertain
13-07-2016 21:11,13-07-2016 21:17,Personal,Weston,Weston,4.2,
14-07-2016 21:11,14-07-2016 21:17,Personal,Morrisville,Cary,3.5,
15-07-2016 21:11,15-07-2016 21:17,Business,Whitebridge,Wayne Ridge,7.8,Meal/Entertain
16-07-2016 21:11,16-07-2016 21:17,Business,Cary,Morrisville,7.8,Meal/Entertain
17-07-2016 21:11,17-07-2016 21:17,Business,Morrisville,Cary,3.9,Meal/Entertain
18-07-2016 21:11,18-07-2016 21:17,Business,Whitebridge,Edgehill Farms,2.8,Errand/Supplies
19-07-2016 21:11,19-07-2016 21:17,Business,Cary,Raleigh,12.4,Customer Visit
20-07-2016 21:11,20-07-2016 21:17,Business,Fayetteville Street,Meredith Townes,5.9,Customer Visit
21-07-2016 21:11,21-07-2016 21:17,Business,Meredith Townes,Leesville Hollow,9.4,Meeting
22-07-2016 21:11,22-07-2016 21:17,Business,Raleigh,Cary,11.9,Between Offices
23-07-2016 21:11,23-07-2016 21:17,Business,Whitebridge,Waverly Place,7.2,Between Offices
24-07-2016 21:11,24-07-2016 21:17,Business,Waverly Place,Whitebridge,7.6,Meal/Entertain
25-07-2016 21:11,25-07-2016 21:17,Personal,Whitebridge,Whitebridge,1.6,
26-07-2016 21:11,26-07-2016 21:17,Business,Cary,Morrisville,8.4,Meeting
27-07-2016 21:11,27-07-2016 21:17,Business,East Austin,West University,12.8,Meeting
28-07-2016 21:11,28-07-2016 21:17,Business,West University,South Congress,2.3,
29-07-2016 21:11,29-07-2016 21:17,Business,South Congress,Arts District,1.6,
30-07-2016 21:11,30-07-2016 21:17,Business,The Drag,Congress Ave District,2,Meal/Entertain
31-07-2016 21:11,31-07-2016 21:17,Business,Congress Ave District,Downtown,0.8,
01-08-2016 21:11,01-08-2016 21:17,Business,Downtown,Red River District,1.2,
02-08-2016 21:11,02-08-2016 21:17,Business,Red River District,Downtown,1,
03-08-2016 21:11,03-08-2016 21:17,Business,South Congress,The Drag,2.1,
04-08-2016 21:11,04-08-2016 21:17,Business,The Drag,South Congress,2.2,
05-08-2016 21:11,05-08-2016 21:17,Personal,South Congress,The Drag,1.9,
06-08-2016 21:11,06-08-2016 21:17,Business,The Drag,Convention Center District,5.7,Meal/Entertain
07-08-2016 21:11,07-08-2016 21:17,Business,South Congress,North Austin,8.4,Meal/Entertain
08-08-2016 21:11,08-08-2016 21:17,Business,Georgian Acres,The Drag,6.2,Meal/Entertain
09-08-2016 21:11,09-08-2016 21:17,Business,The Drag,North Austin,10.5,Meal/Entertain
10-08-2016 21:11,10-08-2016 21:17,Business,North Austin,Coxville,7.2,Meal/Entertain
11-08-2016 21:11,11-08-2016 21:17,Business,Coxville,The Drag,12.5,
12-08-2016 21:11,12-08-2016 21:17,Business,The Drag,South Congress,2,Errand/Supplies
13-08-2016 21:11,13-08-2016 21:17,Business,South Congress,The Drag,2.7,
14-08-2016 21:11,14-08-2016 21:17,Business,The Drag,Convention Center District,2,Meal/Entertain
15-08-2016 21:11,15-08-2016 21:17,Business,Downtown,The Drag,2.8,Meal/Entertain
16-08-2016 21:11,16-08-2016 21:17,Business,The Drag,Congress Ave District,1.7,Meal/Entertain
17-08-2016 21:11,17-08-2016 21:17,Business,Convention Center District,West University,2,
18-08-2016 21:11,18-08-2016 21:17,Business,West University,Congress Ave District,2.1,Meal/Entertain
19-08-2016 21:11,19-08-2016 21:17,Personal,Downtown,The Drag,1.7,
20-08-2016 21:11,20-08-2016 21:17,Business,Austin,Katy,136,Customer Visit
21-08-2016 21:11,21-08-2016 21:17,Business,Katy,Houston,30.2,Meeting
22-08-2016 21:11,22-08-2016 21:17,Business,Midtown,Alief,15.5,Meal/Entertain
23-08-2016 21:11,23-08-2016 21:17,Personal,Houston,Houston,4.9,
24-08-2016 21:11,24-08-2016 21:17,Personal,Houston,Houston,12.6,
25-08-2016 21:11,25-08-2016 21:17,Personal,Sharpstown,Midtown,10.4,
26-08-2016 21:11,26-08-2016 21:17,Business,Midtown,Midtown,1.1,Meal/Entertain
27-08-2016 21:11,27-08-2016 21:17,Business,Midtown,Midtown,1.1,Meal/Entertain
28-08-2016 21:11,28-08-2016 21:17,Business,Midtown,Sharpstown,13.2,Meeting
29-08-2016 21:11,29-08-2016 21:17,Business,Sharpstown,Sharpstown,1,Errand/Supplies
30-08-2016 21:11,30-08-2016 21:17,Business,Sharpstown,Midtown,9.2,Customer Visit
31-08-2016 21:11,31-08-2016 21:17,Business,Midtown,Sharpstown,9.4,Meal/Entertain
01-09-2016 21:11,01-09-2016 21:17,Business,Houston,Sugar Land,12,Customer Visit
02-09-2016 21:11,02-09-2016 21:17,Business,Sugar Land,Houston,35.1,Customer Visit
03-09-2016 21:11,03-09-2016 21:17,Business,Houston,Galveston,36.5,Meal/Entertain
04-09-2016 21:11,04-09-2016 21:17,Business,Galveston,Port Bolivar,3.1,Meal/Entertain
05-09-2016 21:11,05-09-2016 21:17,Business,Port Bolivar,Port Bolivar,2.1,Errand/Supplies
06-09-2016 21:11,06-09-2016 21:17,Business,Port Bolivar,Port Bolivar,1.2,
07-09-2016 21:11,07-09-2016 21:17,Business,Port Bolivar,Galveston,7.5,Meeting
08-09-2016 21:11,08-09-2016 21:17,Business,Galveston,Houston,57,Customer Visit
09-09-2016 21:11,09-09-2016 21:17,Business,Midtown,Washington Avenue,5.9,Meeting
10-09-2016 21:11,10-09-2016 21:17,Business,Washington Avenue,Midtown,6.2,Meeting
11-09-2016 21:11,11-09-2016 21:17,Business,Midtown,Sharpstown,10.4,
12-09-2016 21:11,12-09-2016 21:17,Personal,Sharpstown,Briar Meadow,1.2,
13-09-2016 21:11,13-09-2016 21:17,Business,Briar Meadow,Midtown,9.6,Customer Visit
14-09-2016 21:11,14-09-2016 21:17,Personal,Midtown,Downtown,1,
15-09-2016 21:11,15-09-2016 21:17,Business,Downtown,Midtown,0.9,Meal/Entertain
16-09-2016 21:11,16-09-2016 21:17,Business,Midtown,Sharpstown,8.8,
17-09-2016 21:11,17-09-2016 21:17,Business,Sharpstown,Midtown,25.6,Meal/Entertain
18-09-2016 21:11,18-09-2016 21:17,Business,Midtown,Greater Greenspoint,23,Meal/Entertain
19-09-2016 21:11,19-09-2016 21:17,Personal,Morrisville,Cary,8.1,
20-09-2016 21:11,20-09-2016 21:17,Personal,Whitebridge,Whitebridge,1.4,
21-09-2016 21:11,21-09-2016 21:17,Personal,Whitebridge,Preston,1.7,
22-09-2016 21:11,22-09-2016 21:17,Personal,Preston,Whitebridge,1.6,
23-09-2016 21:11,23-09-2016 21:17,Personal,Whitebridge,Westpark Place,2,
24-09-2016 21:11,24-09-2016 21:17,Business,Westpark Place,Whitebridge,2.2,
25-09-2016 21:11,25-09-2016 21:17,Business,Cary,Latta,144,Customer Visit
26-09-2016 21:11,26-09-2016 21:17,Business,Latta,Jacksonville,310.3,Customer Visit
27-09-2016 21:11,27-09-2016 21:17,Business,Jacksonville,Kissimmee,201,Meeting
28-09-2016 21:11,28-09-2016 21:17,Personal,Couples Glen,Isles of Buena Vista,6.7,
29-09-2016 21:11,29-09-2016 21:17,Personal,Kissimmee,Orlando,8.8,
30-09-2016 21:11,30-09-2016 21:17,Personal,Lake Reams,Lake Reams,1.2,
01-10-2016 21:11,01-10-2016 21:17,Business,Lake Reams,Lake Reams,2.1,Errand/Supplies
02-10-2016 21:11,02-10-2016 21:17,Business,Orlando,Kissimmee,6.6,Meal/Entertain
03-10-2016 21:11,03-10-2016 21:17,Business,Kissimmee,Orlando,6.1,Customer Visit
04-10-2016 21:11,04-10-2016 21:17,Personal,Orlando,Orlando,6.9,
05-10-2016 21:11,05-10-2016 21:17,Personal,Orlando,Kissimmee,7.3,
